,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity,location,date,time_of_day
2347,4.0,0.0,8.0,0.0,7.0,0.0,4,2020-04-07,20:40:00
2348,5.0,8.0,3.0,0.0,5.0,0.0,4,2020-04-09,14:05:00
2349,9.0,10.0,0.0,0.0,2.0,0.0,4,2020-04-09,12:05:00
2350,5.0,10.0,0.0,0.0,9.0,1.0,4,2020-04-08,16:35:00
2351,3.0,2.0,6.0,0.0,5.0,0.0,4,2020-04-08,16:55:00
2352,2.0,5.0,9.0,0.0,2.0,0.0,4,2020-04-07,02:35:00
2353,0.0,3.0,10.0,0.0,4.0,0.0,4,2020-04-07,03:25:00
2354,5.0,9.0,10.0,0.0,4.0,0.0,4,2020-04-08,06:10:00
2355,5.0,4.0,10.0,0.0,3.0,0.0,4,2020-04-06,04:25:00
2356,4.0,4.0,9.0,0.0,4.0,0.0,4,2020-04-08,08:20:00
2357,10.0,1.0,6.0,0.0,5.0,0.0,4,2020-04-08,23:25:00
2358,10.0,5.0,2.0,0.0,7.0,0.0,4,2020-04-08,06:35:00
2359,9.0,2.0,1.0,0.0,7.0,0.0,4,2020-04-07,07:45:00
2360,6.0,2.0,1.0,0.0,1.0,0.0,4,2020-04-09,13:55:00
2361,5.0,5.0,6.0,0.0,3.0,0.0,4,2020-04-06,06:50:00
2362,10.0,10.0,2.0,0.0,6.0,0.0,4,2020-04-09,23:20:00
2363,10.0,7.0,5.0,0.0,2.0,0.0,4,2020-04-07,20:55:00
2364,9.0,1.0,10.0,0.0,3.0,0.0,4,2020-04-07,15:25:00
2365,9.0,0.0,10.0,0.0,2.0,0.0,4,2020-04-09,10:10:00
2366,6.0,1.0,1.0,0.0,9.0,0.0,4,2020-04-08,03:15:00
2367,3.0,5.0,0.0,0.0,4.0,0.0,4,2020-04-09,04:35:00
2368,9.0,4.0,7.0,0.0,10.0,0.0,4,2020-04-06,17:55:00
2369,6.0,4.0,10.0,0.0,5.0,0.0,4,2020-04-10,04:35:00
2370,10.0,1.0,6.0,0.0,1.0,0.0,4,2020-04-08,09:00:00
2371,2.0,9.0,8.0,0.0,7.0,0.0,4,2020-04-10,04:45:00
2372,7.0,8.0,3.0,0.0,7.0,0.0,4,2020-04-07,04:45:00
2373,2.0,1.0,7.0,0.0,10.0,0.0,4,2020-04-07,12:05:00
2374,8.0,8.0,3.0,0.0,5.0,0.0,4,2020-04-08,09:40:00
2375,10.0,9.0,1.0,0.0,7.0,0.0,4,2020-04-10,15:00:00
2376,2.0,2.0,3.0,0.0,3.0,0.0,4,2020-04-08,04:15:00
2377,3.0,3.0,8.0,0.0,9.0,1.0,4,2020-04-09,23:10:00
2378,9.0,2.0,7.0,0.0,7.0,1.0,4,2020-04-09,16:00:00
2379,9.0,10.0,3.0,0.0,9.0,0.0,4,2020-04-08,00:50:00
2380,10.0,5.0,6.0,0.0,4.0,0.0,4,2020-04-06,19:05:00
2381,9.0,7.0,0.0,0.0,10.0,0.0,4,2020-04-07,00:15:00
2382,7.0,8.0,7.0,0.0,1.0,0.0,4,2020-04-07,10:25:00
2383,10.0,1.0,2.0,0.0,6.0,0.0,4,2020-04-10,23:05:00
2384,7.0,0.0,9.0,0.0,2.0,0.0,4,2020-04-06,07:10:00
2385,3.0,2.0,4.0,0.0,9.0,0.0,4,2020-04-08,02:00:00
2386,10.0,7.0,3.0,0.0,0.0,0.0,4,2020-04-07,12:30:00
2387,2.0,3.0,7.0,0.0,9.0,0.0,4,2020-04-07,05:30:00
2388,8.0,4.0,7.0,0.0,10.0,0.0,4,2020-04-10,15:00:00
2389,9.0,10.0,6.0,0.0,10.0,0.0,4,2020-04-06,10:00:00
2390,0.0,0.0,10.0,0.0,2.0,1.0,4,2020-04-06,15:55:00
2391,10.0,0.0,2.0,0.0,1.0,0.0,4,2020-04-10,22:30:00
2392,0.0,6.0,10.0,0.0,4.0,0.0,4,2020-04-08,13:10:00
2393,4.0,1.0,9.0,0.0,9.0,0.0,4,2020-04-06,04:15:00
2394,6.0,9.0,5.0,0.0,5.0,0.0,4,2020-04-07,19:40:00
2395,2.0,4.0,5.0,0.0,4.0,0.0,4,2020-04-09,06:10:00
2396,9.0,8.0,6.0,0.0,8.0,0.0,4,2020-04-06,17:50:00
2397,9.0,0.0,1.0,0.0,5.0,0.0,4,2020-04-06,00:55:00
2398,10.0,6.0,4.0,0.0,5.0,0.0,4,2020-04-07,20:50:00
2399,6.0,4.0,4.0,0.0,4.0,0.0,4,2020-04-07,17:55:00
2400,10.0,7.0,7.0,0.0,3.0,0.0,4,2020-04-10,21:55:00
2401,9.0,9.0,3.0,0.0,1.0,0.0,4,2020-04-09,15:40:00
2402,5.0,9.0,10.0,0.0,2.0,0.0,4,2020-04-09,20:30:00
2403,3.0,4.0,4.0,0.0,6.0,0.0,4,2020-04-09,18:45:00
2404,10.0,1.0,10.0,0.0,9.0,0.0,4,2020-04-08,06:00:00
2405,9.0,3.0,6.0,0.0,4.0,0.0,4,2020-04-06,18:20:00
2406,1.0,2.0,7.0,0.0,2.0,0.0,4,2020-04-08,13:20:00
2407,8.0,0.0,8.0,0.0,0.0,0.0,4,2020-04-10,15:00:00
2408,7.0,6.0,2.0,0.0,5.0,0.0,4,2020-04-10,15:45:00
2409,9.0,8.0,10.0,0.0,10.0,0.0,4,2020-04-06,14:00:00
2410,0.0,0.0,2.0,0.0,4.0,0.0,4,2020-04-07,07:20:00
2411,9.0,10.0,10.0,0.0,0.0,0.0,4,2020-04-09,23:00:00
2412,5.0,4.0,0.0,0.0,2.0,1.0,4,2020-04-09,08:55:00
2413,10.0,10.0,10.0,0.0,3.0,0.0,4,2020-04-07,23:15:00
2414,9.0,8.0,8.0,0.0,0.0,0.0,4,2020-04-09,13:40:00
2415,0.0,9.0,9.0,0.0,6.0,0.0,4,2020-04-07,01:05:00
2416,1.0,6.0,4.0,0.0,8.0,0.0,4,2020-04-06,08:00:00
2417,4.0,10.0,10.0,0.0,9.0,0.0,4,2020-04-07,16:45:00
2418,4.0,0.0,2.0,0.0,5.0,0.0,4,2020-04-10,00:55:00
2419,3.0,8.0,6.0,6.0,9.0,0.0,4,2020-04-10,00:30:00
2420,1.0,7.0,1.0,0.0,7.0,0.0,4,2020-04-10,20:35:00
2421,2.0,1.0,8.0,0.0,2.0,0.0,4,2020-04-10,15:55:00
2422,3.0,2.0,10.0,0.0,4.0,0.0,4,2020-04-08,00:20:00
2423,1.0,3.0,1.0,0.0,10.0,0.0,4,2020-04-07,03:40:00
2424,2.0,2.0,10.0,0.0,10.0,0.0,4,2020-04-06,00:10:00
2425,5.0,6.0,7.0,0.0,10.0,0.0,4,2020-04-09,03:50:00
2426,8.0,5.0,10.0,0.0,0.0,0.0,4,2020-04-09,06:35:00
2427,2.0,10.0,10.0,0.0,3.0,0.0,4,2020-04-10,16:05:00
2428,0.0,2.0,2.0,0.0,5.0,0.0,4,2020-04-08,07:45:00
2429,7.0,2.0,4.0,0.0,6.0,0.0,4,2020-04-06,12:05:00
2430,6.0,9.0,4.0,0.0,10.0,0.0,4,2020-04-10,03:05:00
2431,10.0,10.0,6.0,0.0,9.0,0.0,4,2020-04-07,20:15:00
2432,9.0,3.0,8.0,0.0,6.0,0.0,4,2020-04-06,21:25:00
2433,0.0,10.0,5.0,0.0,10.0,0.0,4,2020-04-08,06:10:00
2434,5.0,3.0,5.0,0.0,7.0,0.0,4,2020-04-08,18:45:00
2435,8.0,9.0,2.0,0.0,8.0,0.0,4,2020-04-09,03:35:00
2436,10.0,6.0,0.0,0.0,4.0,0.0,4,2020-04-07,04:40:00
2437,7.0,0.0,0.0,0.0,0.0,0.0,4,2020-04-08,15:55:00
2438,6.0,5.0,9.0,0.0,7.0,0.0,4,2020-04-10,00:30:00
2439,0.0,1.0,10.0,0.0,4.0,0.0,4,2020-04-07,06:25:00
2440,6.0,10.0,2.0,0.0,10.0,0.0,4,2020-04-06,19:10:00
2441,10.0,4.0,6.0,0.0,9.0,0.0,4,2020-04-09,19:30:00
2442,9.0,10.0,10.0,0.0,6.0,0.0,4,2020-04-07,09:40:00
2443,6.0,8.0,0.0,8.0,9.0,0.0,4,2020-04-09,11:05:00
2444,10.0,1.0,3.0,0.0,10.0,0.0,4,2020-04-08,17:10:00
2445,10.0,8.0,8.0,0.0,0.0,0.0,4,2020-04-06,02:05:00
2446,2.0,6.0,2.0,0.0,0.0,0.0,4,2020-04-07,18:25:00
2447,5.0,6.0,9.0,0.0,1.0,0.0,4,2020-04-07,04:05:00
2448,5.0,10.0,10.0,0.0,6.0,0.0,4,2020-04-10,03:50:00
2449,10.0,10.0,8.0,0.0,10.0,0.0,4,2020-04-06,02:25:00
2450,6.0,7.0,10.0,0.0,6.0,0.0,4,2020-04-08,19:30:00
2451,7.0,0.0,8.0,0.0,2.0,0.0,4,2020-04-06,20:25:00
2452,4.0,7.0,3.0,0.0,1.0,0.0,4,2020-04-08,16:10:00
2453,0.0,7.0,6.0,0.0,4.0,0.0,4,2020-04-09,22:00:00
2454,5.0,4.0,2.0,0.0,10.0,0.0,4,2020-04-07,05:25:00
2455,9.0,0.0,8.0,0.0,4.0,0.0,4,2020-04-09,14:15:00
2456,4.0,9.0,9.0,0.0,1.0,0.0,4,2020-04-09,09:10:00
2457,10.0,9.0,8.0,0.0,3.0,0.0,4,2020-04-09,15:05:00
2458,1.0,5.0,10.0,0.0,5.0,0.0,4,2020-04-08,01:10:00
2459,3.0,1.0,1.0,0.0,2.0,0.0,4,2020-04-06,03:45:00
2460,10.0,2.0,9.0,0.0,10.0,0.0,4,2020-04-06,00:00:00
2461,6.0,6.0,1.0,0.0,3.0,0.0,4,2020-04-10,15:00:00
2462,9.0,6.0,0.0,0.0,7.0,0.0,4,2020-04-08,15:45:00
2463,7.0,10.0,0.0,0.0,2.0,0.0,4,2020-04-07,14:05:00
2464,1.0,2.0,5.0,3.0,10.0,0.0,4,2020-04-09,13:50:00
2465,6.0,5.0,5.0,0.0,4.0,0.0,4,2020-04-06,05:15:00
2466,6.0,10.0,9.0,0.0,2.0,0.0,4,2020-04-09,05:10:00
2467,7.0,9.0,5.0,0.0,0.0,0.0,4,2020-04-07,21:00:00
2468,3.0,8.0,5.0,0.0,7.0,1.0,4,2020-04-10,15:00:00
2469,10.0,2.0,2.0,0.0,2.0,0.0,4,2020-04-07,06:45:00
2470,7.0,1.0,6.0,0.0,5.0,1.0,4,2020-04-07,19:30:00
2471,10.0,10.0,0.0,0.0,8.0,0.0,4,2020-04-07,19:00:00
2472,10.0,3.0,6.0,0.0,3.0,0.0,4,2020-04-06,00:30:00
2473,2.0,10.0,9.0,0.0,4.0,0.0,4,2020-04-08,03:50:00
2474,4.0,6.0,0.0,0.0,7.0,0.0,4,2020-04-08,10:10:00
2475,1.0,0.0,10.0,0.0,10.0,1.0,4,2020-04-10,18:15:00
2476,5.0,3.0,10.0,0.0,8.0,0.0,4,2020-04-10,15:15:00
2477,10.0,4.0,3.0,0.0,9.0,0.0,4,2020-04-09,06:35:00
2478,1.0,8.0,0.0,0.0,4.0,0.0,4,2020-04-07,18:45:00
2479,0.0,1.0,2.0,0.0,1.0,0.0,4,2020-04-08,08:35:00
2480,10.0,2.0,2.0,0.0,3.0,0.0,4,2020-04-09,06:45:00
2481,7.0,8.0,9.0,0.0,0.0,1.0,4,2020-04-07,11:35:00
2482,10.0,8.0,5.0,0.0,5.0,0.0,4,2020-04-06,05:55:00
2483,6.0,8.0,7.0,0.0,10.0,0.0,4,2020-04-09,15:50:00
2484,4.0,3.0,2.0,0.0,5.0,0.0,4,2020-04-10,15:00:00
2485,3.0,9.0,5.0,0.0,10.0,0.0,4,2020-04-08,13:10:00
2486,1.0,6.0,5.0,0.0,8.0,0.0,4,2020-04-06,07:20:00
2487,9.0,2.0,2.0,0.0,4.0,1.0,4,2020-04-08,09:05:00
2488,6.0,9.0,0.0,0.0,7.0,0.0,4,2020-04-06,09:40:00
2489,5.0,9.0,7.0,0.0,1.0,0.0,4,2020-04-06,05:25:00
2490,3.0,3.0,1.0,0.0,10.0,0.0,4,2020-04-09,11:00:00
2491,2.0,2.0,9.0,0.0,10.0,0.0,4,2020-04-08,22:40:00
2492,4.0,9.0,3.0,0.0,10.0,0.0,4,2020-04-07,13:30:00
2493,4.0,8.0,2.0,0.0,1.0,0.0,4,2020-04-08,17:35:00
2494,5.0,7.0,7.0,0.0,2.0,0.0,4,2020-04-09,09:15:00
2495,3.0,6.0,8.0,0.0,3.0,0.0,4,2020-04-09,15:15:00
2496,4.0,4.0,6.0,7.0,10.0,0.0,4,2020-04-08,13:50:00
2497,1.0,2.0,8.0,0.0,10.0,0.0,4,2020-04-09,14:50:00
2498,5.0,0.0,0.0,0.0,5.0,0.0,4,2020-04-08,02:30:00
2499,10.0,4.0,10.0,0.0,7.0,0.0,4,2020-04-08,08:20:00
2500,8.0,10.0,5.0,0.0,6.0,1.0,4,2020-04-08,19:45:00
2501,1.0,10.0,0.0,2.0,4.0,0.0,4,2020-04-09,14:00:00
2502,4.0,10.0,2.0,0.0,5.0,0.0,4,2020-04-07,01:30:00
2503,6.0,4.0,9.0,0.0,10.0,0.0,4,2020-04-06,19:00:00
2504,9.0,6.0,3.0,0.0,7.0,0.0,4,2020-04-09,23:50:00
2505,10.0,10.0,7.0,0.0,10.0,0.0,4,2020-04-07,11:50:00
2506,1.0,5.0,2.0,0.0,4.0,0.0,4,2020-04-08,04:00:00
2507,6.0,3.0,4.0,0.0,6.0,0.0,4,2020-04-07,02:30:00
2508,7.0,2.0,1.0,0.0,4.0,0.0,4,2020-04-06,08:10:00
2509,6.0,1.0,3.0,0.0,4.0,0.0,4,2020-04-09,23:25:00
2510,4.0,10.0,0.0,0.0,10.0,0.0,4,2020-04-07,15:45:00
2511,10.0,6.0,3.0,0.0,10.0,0.0,4,2020-04-09,17:20:00
2512,3.0,4.0,3.0,0.0,8.0,0.0,4,2020-04-09,14:50:00
2513,3.0,1.0,9.0,0.0,7.0,0.0,4,2020-04-08,11:00:00
2514,3.0,1.0,4.0,1.0,10.0,0.0,4,2020-04-08,09:10:00
2515,3.0,0.0,10.0,0.0,3.0,1.0,4,2020-04-09,19:15:00
2516,6.0,2.0,8.0,0.0,6.0,0.0,4,2020-04-08,01:50:00
2517,4.0,4.0,4.0,0.0,8.0,0.0,4,2020-04-09,11:20:00
2518,10.0,3.0,2.0,0.0,8.0,0.0,4,2020-04-08,16:50:00
2519,10.0,6.0,6.0,0.0,10.0,0.0,4,2020-04-10,04:35:00
2520,6.0,3.0,2.0,0.0,10.0,0.0,4,2020-04-09,18:20:00
2521,8.0,7.0,3.0,0.0,6.0,1.0,4,2020-04-07,00:30:00
2522,0.0,4.0,5.0,0.0,10.0,0.0,4,2020-04-10,15:00:00
2523,8.0,10.0,9.0,0.0,1.0,0.0,4,2020-04-09,11:00:00
2524,8.0,5.0,10.0,0.0,4.0,0.0,4,2020-04-10,04:15:00
2525,5.0,7.0,10.0,0.0,4.0,0.0,4,2020-04-08,07:50:00
2526,9.0,10.0,10.0,0.0,2.0,0.0,4,2020-04-09,11:45:00
2527,6.0,2.0,7.0,7.0,1.0,0.0,4,2020-04-08,23:30:00
2528,5.0,7.0,9.0,0.0,8.0,0.0,4,2020-04-09,08:20:00
2529,3.0,2.0,0.0,0.0,0.0,0.0,4,2020-04-07,00:40:00
2530,3.0,9.0,1.0,0.0,1.0,0.0,4,2020-04-07,04:25:00
2531,4.0,6.0,7.0,0.0,10.0,0.0,4,2020-04-06,17:15:00
2532,1.0,0.0,9.0,0.0,2.0,0.0,4,2020-04-09,01:15:00
2533,5.0,8.0,2.0,0.0,10.0,0.0,4,2020-04-06,02:35:00
2534,10.0,4.0,7.0,0.0,6.0,0.0,4,2020-04-10,15:00:00
2535,10.0,0.0,5.0,0.0,5.0,0.0,4,2020-04-09,01:30:00
2536,7.0,9.0,10.0,0.0,4.0,0.0,4,2020-04-07,22:30:00
2537,10.0,3.0,10.0,0.0,7.0,0.0,4,2020-04-07,20:25:00
2538,9.0,2.0,9.0,0.0,6.0,0.0,4,2020-04-08,03:55:00
2539,5.0,4.0,3.0,0.0,9.0,0.0,4,2020-04-08,22:05:00
2540,10.0,7.0,0.0,0.0,5.0,0.0,4,2020-04-08,02:45:00
2541,8.0,7.0,1.0,0.0,7.0,0.0,4,2020-04-09,09:45:00
2542,6.0,6.0,9.0,0.0,1.0,0.0,4,2020-04-06,23:45:00
2543,5.0,2.0,0.0,0.0,1.0,0.0,4,2020-04-07,19:55:00
2544,6.0,9.0,9.0,0.0,5.0,1.0,4,2020-04-07,19:35:00
2545,9.0,8.0,8.0,0.0,0.0,0.0,4,2020-04-10,16:35:00
2546,7.0,8.0,6.0,0.0,5.0,0.0,4,2020-04-08,00:50:00
2547,0.0,3.0,8.0,0.0,1.0,0.0,4,2020-04-06,16:35:00
2548,5.0,10.0,10.0,0.0,5.0,0.0,4,2020-04-07,19:45:00
2549,7.0,3.0,10.0,0.0,8.0,0.0,4,2020-04-07,10:45:00
2550,8.0,0.0,5.0,0.0,4.0,0.0,4,2020-04-10,03:35:00
2551,5.0,1.0,6.0,0.0,4.0,0.0,4,2020-04-10,20:35:00
2552,6.0,9.0,10.0,0.0,5.0,0.0,4,2020-04-10,01:45:00
2553,10.0,8.0,8.0,0.0,5.0,0.0,4,2020-04-06,00:10:00
2554,9.0,3.0,3.0,0.0,7.0,0.0,4,2020-04-09,03:25:00
2555,1.0,4.0,10.0,0.0,0.0,0.0,4,2020-04-08,08:40:00
2556,3.0,10.0,3.0,0.0,3.0,0.0,4,2020-04-10,15:00:00
2557,2.0,9.0,10.0,0.0,0.0,0.0,4,2020-04-09,03:05:00
2558,4.0,8.0,8.0,0.0,3.0,1.0,4,2020-04-08,16:55:00
2559,2.0,0.0,7.0,0.0,10.0,0.0,4,2020-04-10,00:45:00
2560,10.0,10.0,3.0,0.0,9.0,1.0,4,2020-04-10,15:00:00
2561,10.0,8.0,4.0,0.0,9.0,0.0,4,2020-04-10,15:00:00
2562,7.0,5.0,7.0,0.0,5.0,0.0,4,2020-04-08,06:35:00
2563,4.0,0.0,0.0,0.0,4.0,0.0,4,2020-04-07,10:45:00
2564,8.0,7.0,10.0,0.0,10.0,0.0,4,2020-04-09,11:35:00
2565,10.0,10.0,4.0,0.0,6.0,0.0,4,2020-04-06,23:30:00
2566,9.0,10.0,5.0,0.0,0.0,0.0,4,2020-04-08,11:20:00
2567,6.0,4.0,5.0,6.0,9.0,0.0,4,2020-04-08,04:55:00
2568,8.0,2.0,10.0,0.0,0.0,0.0,4,2020-04-08,05:35:00
2569,5.0,5.0,0.0,0.0,0.0,0.0,4,2020-04-07,23:45:00
2570,2.0,5.0,2.0,0.0,0.0,0.0,4,2020-04-08,21:20:00
2571,1.0,0.0,3.0,0.0,9.0,0.0,4,2020-04-10,23:25:00
2572,8.0,1.0,10.0,0.0,3.0,1.0,4,2020-04-06,00:00:00
2573,2.0,8.0,0.0,0.0,6.0,0.0,4,2020-04-07,14:55:00
2574,8.0,9.0,6.0,0.0,10.0,0.0,4,2020-04-08,03:00:00
2575,2.0,2.0,10.0,0.0,8.0,0.0,4,2020-04-08,03:15:00
11067,-0.0,-0.0,2.0,0.0,0.0,3.0,4,2020-04-06,17:35:00
11068,0.0,0.0,1.0,0.0,2.0,2.0,4,2020-04-06,15:50:00
11069,0.0,-0.0,0.0,0.0,3.0,2.0,4,2020-04-06,15:55:00
11070,0.0,0.0,1.0,0.0,2.0,2.0,4,2020-04-06,14:50:00
11071,-0.0,-0.0,0.0,0.0,1.0,2.0,4,2020-04-06,16:05:00
11072,-0.0,0.0,0.0,0.0,3.0,3.0,4,2020-04-06,17:10:00
11073,-0.0,-0.0,0.0,0.0,1.0,2.0,4,2020-04-06,14:35:00
11074,-0.0,-0.0,0.0,0.0,2.0,3.0,4,2020-04-06,14:35:00
11075,-0.0,1.0,1.0,0.0,2.0,1.0,4,2020-04-06,15:55:00
11076,1.0,0.0,-0.0,0.0,1.0,1.0,4,2020-04-06,15:50:00
11077,0.0,1.0,0.0,0.0,2.0,2.0,4,2020-04-06,14:35:00
11078,0.0,0.0,0.0,0.0,2.0,2.0,4,2020-04-06,17:35:00
11079,0.0,-0.0,-0.0,0.0,2.0,2.0,4,2020-04-06,15:25:00
11080,0.0,0.0,0.0,0.0,3.0,2.0,4,2020-04-06,16:55:00
11081,0.0,1.0,-0.0,0.0,2.0,3.0,4,2020-04-06,16:25:00
11082,0.0,-0.0,0.0,0.0,2.0,1.0,4,2020-04-06,14:45:00
11083,0.0,0.0,-0.0,0.0,2.0,3.0,4,2020-04-06,14:35:00
11084,-0.0,0.0,1.0,0.0,1.0,2.0,4,2020-04-06,17:10:00
11085,0.0,-0.0,0.0,0.0,2.0,3.0,4,2020-04-06,15:45:00
11086,0.0,0.0,-0.0,0.0,1.0,3.0,4,2020-04-06,16:35:00
11087,-0.0,0.0,-0.0,0.0,2.0,2.0,4,2020-04-06,15:30:00
11088,-0.0,0.0,0.0,0.0,2.0,1.0,4,2020-04-06,14:35:00
11089,1.0,1.0,-0.0,0.0,2.0,1.0,4,2020-04-06,16:00:00
11090,0.0,0.0,-0.0,0.0,2.0,2.0,4,2020-04-06,15:35:00
11091,-0.0,0.0,-0.0,0.0,2.0,2.0,4,2020-04-06,15:30:00
11092,0.0,0.0,0.0,0.0,1.0,2.0,4,2020-04-06,15:45:00
11093,0.0,0.0,0.0,0.0,2.0,3.0,4,2020-04-06,16:30:00
11094,-0.0,-0.0,0.0,0.0,2.0,1.0,4,2020-04-06,15:10:00
11095,-0.0,-0.0,0.0,0.0,2.0,3.0,4,2020-04-06,15:00:00
11096,0.0,1.0,0.0,0.0,2.0,2.0,4,2020-04-06,14:40:00
11097,0.0,0.0,1.0,0.0,2.0,2.0,4,2020-04-06,14:35:00
11098,0.0,-0.0,-0.0,7.0,1.0,2.0,4,2020-04-06,15:05:00
11099,0.0,0.0,-0.0,0.0,2.0,2.0,4,2020-04-06,14:35:00
11921,0.0,0.0,0.0,0.0,2.0,0.0,4,2020-04-06,16:10:00
11922,1.0,0.0,1.0,0.0,0.0,0.0,4,2020-04-06,16:25:00
11923,1.0,-0.0,-0.0,0.0,2.0,0.0,4,2020-04-06,16:10:00
11924,0.0,1.0,1.0,0.0,2.0,0.0,4,2020-04-06,16:05:00
11925,1.0,0.0,-0.0,3.0,4.0,0.0,4,2020-04-06,17:00:00
11926,-0.0,0.0,-0.0,0.0,2.0,0.0,4,2020-04-06,18:10:00
11927,-0.0,0.0,0.0,0.0,2.0,1.0,4,2020-04-06,17:05:00
11928,-0.0,0.0,1.0,0.0,1.0,0.0,4,2020-04-06,18:30:00
11929,0.0,0.0,1.0,0.0,2.0,0.0,4,2020-04-06,16:15:00
