,location,date,hour,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity
2,1,2020-04-09,0,6.333333333333333,7.666666666666667,4.666666666666667,5.333333333333333,9.333333333333334,0.0
64,1,2020-04-06,0,2.0,10.0,3.0,5.0,5.0,0.0
79,1,2020-04-10,0,4.0,6.333333333333333,7.333333333333333,4.0,8.0,0.0
83,1,2020-04-08,0,3.5,6.5,2.5,7.5,6.5,0.0
88,1,2020-04-07,0,4.0,6.5,10.0,7.0,2.5,0.0
148,2,2020-04-06,0,6.2727272727272725,7.090909090909091,3.727272727272727,0.0,4.636363636363637,0.18181818181818182
181,2,2020-04-09,0,4.666666666666667,4.0,8.11111111111111,0.0,5.444444444444445,0.1111111111111111
188,2,2020-04-10,0,4.166666666666667,4.583333333333333,4.75,0.0,6.5,0.08333333333333333
217,2,2020-04-07,0,7.0,6.0,3.625,0.0,3.375,0.25
232,2,2020-04-08,0,5.285714285714286,5.571428571428571,6.428571428571429,0.0,3.7142857142857144,0.14285714285714285
237,2,2020-04-11,0,6.0,1.5,5.0,0.0,4.5,0.0
281,3,2020-04-08,0,2.2857142857142856,3.4285714285714284,6.285714285714286,4.714285714285714,6.0,0.14285714285714285
287,3,2020-04-07,0,3.8,4.6,5.6,6.8,6.2,0.2
289,3,2020-04-06,0,5.2727272727272725,4.454545454545454,7.181818181818182,6.2727272727272725,3.5454545454545454,0.09090909090909091
349,4,2020-04-08,0,6.333333333333333,6.666666666666667,6.333333333333333,0.0,6.0,0.0
351,4,2020-04-07,0,6.666666666666667,5.333333333333333,1.0,0.0,5.333333333333333,0.3333333333333333
363,4,2020-04-06,0,8.166666666666666,2.6666666666666665,7.333333333333333,0.0,6.0,0.16666666666666666
376,4,2020-04-10,0,4.2,3.4,5.8,1.2,7.2,1.0
422,5,2020-04-08,0,7.666666666666667,4.5,3.3333333333333335,6.666666666666667,7.0,0.0
425,5,2020-04-07,0,6.428571428571429,7.428571428571429,5.0,6.428571428571429,6.428571428571429,0.14285714285714285
437,5,2020-04-10,0,5.375,4.0,4.75,3.125,3.75,0.125
441,5,2020-04-09,0,5.6,6.8,4.4,6.6,4.4,0.0
480,5,2020-04-06,0,4.6,3.2,3.2,5.8,5.6,0.0
544,6,2020-04-09,0,5.083333333333333,7.0,5.25,6.666666666666667,6.333333333333333,0.08333333333333333
575,6,2020-04-10,0,4.666666666666667,5.4,6.2,5.666666666666667,3.533333333333333,0.06666666666666667
586,6,2020-04-08,0,3.6666666666666665,6.222222222222222,5.0,8.0,6.888888888888889,0.1111111111111111
606,6,2020-04-06,0,6.181818181818182,4.909090909090909,4.090909090909091,5.363636363636363,5.7272727272727275,0.18181818181818182
619,6,2020-04-07,0,3.857142857142857,4.0,5.428571428571429,4.428571428571429,5.857142857142857,0.0
655,6,2020-04-11,0,7.0,7.0,8.0,10.0,10.0,0.0
702,8,2020-04-07,0,5.733333333333333,6.333333333333333,5.333333333333333,0.0,7.0,0.13333333333333333
705,8,2020-04-06,0,4.461538461538462,5.846153846153846,5.615384615384615,0.0,4.6923076923076925,0.0
737,8,2020-04-08,0,4.4,3.7,6.9,0.0,3.4,0.0
780,9,2020-04-07,0,5.352941176470588,5.411764705882353,5.117647058823529,4.352941176470588,6.529411764705882,0.0
784,9,2020-04-09,0,7.5,4.625,5.0,5.0,5.875,0.0
823,9,2020-04-08,0,5.8,4.5,5.2,5.8,4.3,0.2
856,9,2020-04-10,0,7.75,4.083333333333333,5.166666666666667,3.6666666666666665,6.25,0.3333333333333333
869,9,2020-04-06,0,6.333333333333333,4.333333333333333,6.0,3.6666666666666665,7.0,0.0
896,10,2020-04-07,0,7.0,4.666666666666667,7.333333333333333,0.0,3.0,0.3333333333333333
902,10,2020-04-08,0,4.666666666666667,4.0,5.0,0.0,8.0,0.0
911,10,2020-04-10,0,3.0,0.0,7.0,0.0,4.0,0.0
968,11,2020-04-07,0,6.333333333333333,9.666666666666666,8.333333333333334,5.333333333333333,5.333333333333333,0.0
1005,11,2020-04-10,0,1.0,3.0,9.0,10.0,3.0,0.0
1026,11,2020-04-09,0,10.0,5.0,10.0,8.0,0.0,0.0
1048,11,2020-04-08,0,5.0,2.0,2.0,10.0,4.0,0.0
