,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity,location,date,time_of_day,hour
99,2,10,3,5,5,0,HIMARK GENERAL ,2020-04-06,0:35,0
1602,10,2,10,6,1,0,OLD TOWN HOSPITAL,2020-04-06,0:40,0
1655,4,7,5,0,9,0,OLD TOWN HOSPITAL,2020-04-06,0:15,0
1683,3,3,5,4,4,0,OLD TOWN HOSPITAL,2020-04-06,0:25,0
1730,6,3,10,10,9,0,OLD TOWN HOSPITAL,2020-04-06,0,0
1752,5,9,7,4,2,0,OLD TOWN HOSPITAL,2020-04-06,0:35,0
1796,10,2,0,6,5,0,OLD TOWN HOSPITAL,2020-04-06,0:40,0
2129,5,3,9,4,2,0,OLD TOWN HOSPITAL,2020-04-06,0:25,0
2160,0,4,3,10,3,0,OLD TOWN HOSPITAL,2020-04-06,0:50,0
2164,10,0,10,8,3,0,OLD TOWN HOSPITAL,2020-04-06,0:35,0
2221,5,9,10,7,0,1,OLD TOWN HOSPITAL,2020-04-06,0:10,0
2227,0,7,10,10,1,0,OLD TOWN HOSPITAL,2020-04-06,0:20,0
3125,1,5,4,8,9,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-06,0:10,0
3268,8,3,1,7,10,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-06,0:15,0
3356,1,5,4,1,8,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-06,0:25,0
3470,10,3,8,4,1,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-06,0:05,0
3621,10,7,0,8,5,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-06,0:40,0
3627,1,9,0,9,8,1,TRAUMA & CHILDRENS HOSPITAl,2020-04-06,0:10,0
3741,0,7,0,3,10,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-06,0:10,0
4009,10,4,8,1,0,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-06,0:45,0
4092,7,5,5,7,3,1,TRAUMA & CHILDRENS HOSPITAl,2020-04-06,0:55,0
4111,10,3,5,2,9,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-06,0:40,0
4183,10,3,10,9,0,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-06,0:20,0
6102,4,4,8,2,5,0,COMMUNITY HOSPITAL,2020-04-06,0:45,0
6136,7,0,9,3,9,0,COMMUNITY HOSPITAL,2020-04-06,0:50,0
6305,8,9,1,6,7,0,COMMUNITY HOSPITAL,2020-04-06,0:35,0
9731,7,5,4,3,9,0,EAGLEPEAK HOSPITAL,2020-04-06,0:20,0
172,3,4,10,10,0,0,HIMARK GENERAL ,2020-04-07,0,0
234,5,9,10,4,5,0,HIMARK GENERAL ,2020-04-07,0:55,0
1599,7,1,3,7,9,0,OLD TOWN HOSPITAL,2020-04-07,0:05,0
1635,4,10,10,10,9,0,OLD TOWN HOSPITAL,2020-04-07,0,0
2149,6,7,3,10,10,0,OLD TOWN HOSPITAL,2020-04-07,0:50,0
2200,0,1,9,4,0,0,OLD TOWN HOSPITAL,2020-04-07,0:45,0
3158,5,3,7,10,9,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-07,0:50,0
3321,9,0,8,1,10,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-07,0:45,0
3704,3,0,3,5,2,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-07,0,0
3800,8,5,9,4,9,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-07,0:50,0
4159,2,9,7,5,8,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-07,0:15,0
4289,0,10,4,6,3,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-07,0:35,0
5407,10,2,3,8,5,0,COMMUNITY HOSPITAL,2020-04-07,0:50,0
5408,8,1,8,1,7,0,COMMUNITY HOSPITAL,2020-04-07,0:30,0
5409,9,10,2,5,2,0,COMMUNITY HOSPITAL,2020-04-07,0:40,0
5429,7,7,10,3,3,0,COMMUNITY HOSPITAL,2020-04-07,0:05,0
5437,2,6,4,0,5,0,COMMUNITY HOSPITAL,2020-04-07,0:25,0
5460,2,7,7,2,0,0,COMMUNITY HOSPITAL,2020-04-07,0,0
5494,1,5,4,10,5,0,COMMUNITY HOSPITAL,2020-04-07,0:40,0
5548,1,5,0,4,10,0,COMMUNITY HOSPITAL,2020-04-07,0:25,0
5675,4,2,9,2,9,0,COMMUNITY HOSPITAL,2020-04-07,0:05,0
5726,2,1,6,0,9,0,COMMUNITY HOSPITAL,2020-04-07,0:50,0
5776,4,10,5,7,10,0,COMMUNITY HOSPITAL,2020-04-07,0:45,0
